key,sku,unitPrice,name
residential|post|ResPost||white|1.8||end,ResPost-End-Wht-1.8m,55.0,Post White End 1800mm
residential|post|ResPost||white|0.9||corner,ResPost-Corner-Wht-0.9m,38.0,Post White Corner 900mm
residential|post|ResPost||white|1.6||corner,ResPost-Corner-Wht-1.6m,51.0,PostWht Corner 1600mm
residential|post|ResPost||white|1.4||blank,ResPost-Blank-Wht-1.4m,46.0,Post White Blank 1400mm
residential|post|ResPost||white|1.6||end,ResPost-End-Wht-1.6m,51.0,Post White End 1600mm
residential|post|ResPost||white|1.8||line,ResPost-Line-Wht-1.8m,55.0,Post White Line 1800mm
residential|post|ResPost||white|2.1||end,ResPost-End-Wht-2.1m,,Post White End 2100mm
residential|post|ResPost||white|2.1||line,ResPost-Line-Wht-2.1m,,Post White Line 2100mm
residential|post|ResPost||white|1.8||corner,ResPost-Corner-Wht-1.8m,55.0,Post White Corner 1800mm
residential|post|ResPost||white|1.2||corner,ResPost-Corner-Wht-1.2m,46.01,Post White Corner 1200mm
residential|post|ResPost||white|2||corner,ResPost-Corner-Wht-2.0m,56.0,Post White Corner 2000m
residential|post|ResPost||white|2||blank,ResPost-Blank-Wht-2.0m,56.0,Post White Blank 2000mm
residential|post|ResPost||white|1.6||t,ResPost-T-Wht-1.6m,54.57,Post White T 1600mm
residential|post|ResPost||white|1.4||t,ResPost-T-Wht-1.4m,49.0,Post White T 1400mm
residential|post|ResPost||white|1.4||corner,ResPost-Corner-Wht-1.4m,49.0,Post White Corner 1400mm
residential|post|ResPost||white|1.2||t,ResPost-T-Wht-1.2m,46.01,Post White T 1200mm
residential|post|ResPost||white|1.8||t,ResPost-T-Wht-1.8m,58.85,Post White T - Routed Jabiru on one side / Mystique on two sides
residential|post|ResPost||white|2.1||corner,ResPost-Corner-Wht-2.1m,62.06,Post White Corner 2100mm
residential|post|ResPost||colour|1.4||t,ResPost-T-Col-1.4m,68.0,Post Colour T 1400mm
residential|post|ResPost||colour|1.6||line,ResPost-Line-Col-1.6m,75.0,Post Colour Line 1600mm
residential|post|ResPost||colour|1.4||end,ResPost-End-Col-1.4m,68.0,Post Colour End 1400mm
residential|post|ResPost||colour|1.8||end,ResPost-End-Col-1.8m,81.0,Post Colour End 1800mm
residential|post|ResPost||colour|1.4||line,ResPost-Line-Col-1.4m,68.0,Post Colour Line 1400mm
residential|post|ResPost||colour|2.1||line,ResPost-Line-Col-2.1m,87.0,Post Colour Line 2100mm
residential|post|ResPost||colour|1.6||end,ResPost-End-Col-1.6m,75.0,Post Colour End 1600mm
residential|post|ResPost||colour|1.8||line,ResPost-Line-Col-1.8m,81.0,Post Colour Line 1800mm
residential|post|ResPost||colour|2.1||end,ResPost-End-Col-2.1m,87.0,Post Colour End 2100mm
residential|post|ResPost||colour|1.4||corner,ResPost-Corner-Col-1.4m,68.0,Post Colour Corner 1400mm
residential|post|ResPost||colour|2||line,ResPost-Line-Col-2.0m,84.0,Post Colour Line 2000mm
residential|post|ResPost||colour|1.4||blank,ResPost-Blank-Col-1.4m,68.0,Post Colour Blank 1400mm
residential|post|ResPost||colour|2.1||corner,ResPost-Corner-Col-2.1m,87.0,Post Colour Corner 2100mm
residential|post|ResPost||colour|1.2||end,ResPost-End-Col-1.2m,62.01,Post Colour End 1200mm
residential|post|ResPost||colour|1.2||corner,ResPost-Corner-Col-1.2m,62.01,Post Colour Corner 1200mm
residential|post|ResPost||colour|1.2||line,ResPost-Line-Col-1.2m,62.01,Post Colour Line 1200mm
residential|post|ResPost||colour|1.8||blank,ResPost-Blank-Col-1.8m,81.0,Post Colour Blank 1800mm
residential|post|ResPost||colour|2||end,ResPost-End-Col-2.0m,84.0,Post Colour End 2000mm
residential|post|ResPost||colour|1.8||corner,ResPost-Corner-Col-1.8m,81.0,Post Colour Corner 1800mm
residential|post|ResPost||colour|0.9||end,ResPost-End-Col-0.9m,54.0,Post Colour End 900mm
residential|post|ResPost||colour|0.9||line,ResPost-Line-Col-0.9m,54.0,Post Colour Line 900mm
residential|post|ResPost||colour|0.9||blank,ResPost-Blank-Col-0.9m,54.0,Post Colour Blank 900mm
residential|post|ResPost||colour|0.9||corner,ResPost-Corner-Col-0.9m,54.0,Post Colour Corner 900mm
residential|post|ResPost||colour|1.6||blank,ResPost-Blank-Col-1.6m,80.25,Post Colour Blank 1600mm
residential|post|ResPost||colour|2.1||blank,ResPost-Blank-Col-2.1m,87.0,Post Colour Blank 2100mm
residential|post|ResPost||colour|1.2||blank,ResPost-Blank-Col-1.2m,66.34,Post Colour Blank 1200mm
residential|post|ResPost||colour|2||corner,ResPost-Corner-Col-2.0m,89.88,Post Colour Corner 2000mm
residential|post|ResPost||colour|2||blank,ResPost-Blank-Col-2.0m,89.88,Post Colour Blank 2000mm
residential|post|ResPost||colour|1.6||corner,ResPost-Corner-Col-1.6m,80.25,Post Colour Corner 1600mm
rural|post|TLPOST||NightMist|1.4||blank,TLPOST-127mm-NightMist-1.4m,72.76,Timberline Post 127x127mm Night Mist @ 1.4m
rural|post|TLPOST||white|1.4||blank,TLPOST-127mm-White-1.4m,46.0,Timberline Post 127x127mm White @ 1.4m
rural|post|TLPOST||WGRedGum|1.4||blank,TLPOST-127mm-WGRedGum-1.4m,68.0,Timberline Post 127x127mm Woodgrain Red Gum @ 1.4m
rural|post|TLPOST||WGPine|1.4||blank,TLPOST-127mm-WGPine-1.4m,68.0,Timberline Post 127x127mm Woodgrain Pine @ 1.4m
rural|post|TLPOST||Delux|1.2||blank,TLPOST-127mm-Delux-1.2m,62.0,Timberline Post 127x127mm Delux @ 1.2m
rural|post|TLPOST||white|1.2||blank,TLPOST-127mm-White-1.2m,43.0,Timberline Post 127x127mm White 1.2m
rural|post|TLPOST||Cream|1.2||blank,TLPOST-127mm-Cream-1.2m,62.0,Timberline Post 127x127mm Cream @ 1.8m
rural|post|TLPOST||GreyRidge|1.2||blank,TLPOST-127mm-GreyRidge-1.2m,62.0,Timberline Post 127x127mm Grey Ridge @ 1.2m
rural|post|TLPOST||WGPine|1.2||blank,TLPOST-127mm-WGPine-1.2m,66.34,Timberline Post 127x127mm Woodgrain Pine @ 1.2m
rural|post|TLPOST||Delux|1.4||blank,TLPOST-127mm-Delux-1.4m,68.0,Timberline Post 127x127mm Delux @ 1.4m
rural|post|TLPOST||NightMist|1.2||blank,TLPOST-127mm-NightMist-1.2m,62.0,Timberline Post 127x127mm Night Mist @ 1.2m
rural|post|TLPOST||GreyRidge|1.4||blank,TLPOST-127mm-GreyRidge-1.4m,,Timberline Post 127x127mm Grey Ridge @ 1.4m
rural|post|TLPOST||WGRedGum|1.2||blank,TLPOST-127mm-WGRedGum-1.2m,66.34,Timberline Post 127x127mm Woodgrain Red Gum @ 1.2m
rural|post|TLPOST||Cream|1.4||blank,TLPOST-127mm-Cream-1.4m,72.76,Timberline Post 127x127mm Cream @ 1.4m
rural|post|TLPOST|3 Rail|WGRedGum|2||corner,TLPOST-127 WGRedGum-3R-2.0m-C,36.39,Timberline LINE Post 127x127mm WG RedGum C 3R @ 1.2m
rural|post|TLPOST|2 Rail|white|2||line,TLPOST-127 White-2R-2.0m-L,39.83,Timberline Post 127x127mm White L 2R @ 2.0m
rural|post|TLPOST|2 Rail|white|2||end,TLPOST-127 White-2R-2.0m-E,39.83,Timberline Post 127x127mm White E 2R @ 2.0m
rural|post|TLPOST|4 Rail|white|2||end,TLPOST-127 White-4R-2.0m-E,39.83,Timberline Post 127x127mm White E 4R @ 2.0m
rural|post|TLPOST|4 Rail|white|2||line,TLPOST-127 White-4R-2.0m-L,39.83,Timberline Post 127x127mm White L 4R @ 2.0m
